id,speaker,views,tags,,,,,,,,,
55,Jehane Noujaim,381970,"TED Prize,film,culture,social change,entertainment,storytelling,global issues,art,peace",,,,,,,,,
56,Edward Burtynsky,932317,"TED Prize,pollution,photography,culture,social change,cities,environment,design,art",,,,,,,,,
57,Robert Fischell,373574,"TED Prize,invention,disease,health care,medicine,science,technology,business",,,,,,,,,
58,Larry Brilliant,681414,"TED Prize,ebola,disease,health,science,global issues,technology,collaboration",,,,,,,,,
59,Bono,713464,"philanthropy,AIDS,Africa,poverty,activism,politics,social change,leadership,entertainment,global issues",,,,,,,,,
60,Anna Deavere Smith,961896,"MacArthur grant,sports,race,performance art,theater,interview,culture,United States,history,entertainment,performance,storytelling",,,,,,,,,
61,Steven Johnson,669113,"map,disease,health,culture,history,science,cities,urban planning,design",,,,,,,,,
62,Bjorn Lomborg,1370642,"AIDS,Africa,economics,culture,disaster relief,choice,future,climate change,environment,business",,,,,,,,,
63,Charles Leadbeater,1382643,"open-source,invention,economics,product design,culture,media,innovation,business,collaboration",,,,,,,,,
64,Eve Ensler,1106385,"gender,happiness,theater,culture,women,entertainment,performance,storytelling,global issues",,,,,,,,,
65,Jeff Han,4506699,"interface design,demo,design,technology",,,,,,,,,
66,Ken Robinson,45622906,"dance,education,culture,parenting,children,teaching,creativity",,,,,,,,,
67,Peter Donnelly,1036886,"statistics,genetics,culture,science,technology",,,,,,,,,
68,Robert Wright,1010109,"culture,war,global issues,collaboration",,,,,,,,,
69,Wade Davis,2402140,"anthropology,photography,film,culture,language,environment,global issues",,,,,,,,,
70,Richard St. John,10448381,"happiness,success,education,psychology,culture,work,entertainment,business",,,,,,,,,
71,Rick Warren,3007625,"philanthropy,Christianity,God,happiness,motivation,culture,religion,leadership",,,,,,,,,
72,Chris Anderson,891435,"marketing,economics,culture,entertainment,technology,business",,,,,,,,,
73,Carl Honoré,2379636,"happiness,work-life balance,health,psychology,culture,personal growth,potential,choice,parenting",,,,,,,,,
74,Alex Steffen,1351194,"alternative energy,invention,culture,cities,environment,sustainability,design,global issues,business,collaboration",,,,,,,,,
75,Sasa Vucinic,573543,"philanthropy,investment,culture,media,global issues,business",,,,,,,,,
76,Susan Savage-Rumbaugh,2148077,"apes,education,genetics,intelligence,evolution,biology,culture,language,animals",,,,,,,,,
77,Sheila Patek,1057556,"online video,oceans,biology,biomechanics,science,technology",,,,,,,,,
78,Al Seckel,2109416,"illusion,cognitive science,psychology,brain,culture,design",,,,,,,,,
79,Iqbal Quadir,495093,"telecom,transportation,alternative energy,microfinance,invention,poverty,investment,culture,global development,global issues,technology,business,communication",,,,,,,,,
80,Juan Enriquez,683029,"TED Brain Trust,biotech,invention,genetics,DNA,culture,science,technology,business",,,,,,,,,
81,Nora York,389450,"poetry,live music,music,singer,entertainment,performance",,,,,,,,,
82,Dean Kamen,1550094,"prosthetics,invention,health care,demo,culture,war,science,global issues,technology,peace",,,,,,,,,
83,E.O. Wilson,1303184,"ants,TED Prize,insects,biology,science,nature,biodiversity,ecology,global issues,technology",,,,,,,,,
84,James Nachtwey,1229235,"photography,poverty,culture,activism,media,war,social change,storytelling,global issues,art",,,,,,,,,
85,Bill Clinton,843671,"TED Prize,Africa,economics,health care,culture,global issues,technology,business",,,,,,,,,
86,Julia Sweeney,3715835,"atheism,Christianity,God,culture,comedy,religion,performance,storytelling,humor",,,,,,,,,
87,Ze Frank,6026936,"dance,software,demo,culture,comedy,entertainment,performance,humor,collaboration,community",,,,,,,,,
89,Ben Saunders,728116,"travel,sports,culture,personal growth,potential,exploration,climate change,global issues,technology",,,,,,,,,
90,Neil Gershenfeld,677811,"code,invention,computers,education,culture,social change,science,engineering,materials,technology",,,,,,,,,
91,Jacqueline Novogratz,684188,"TED Brain Trust,philanthropy,microfinance,Africa,poverty,investment,culture,global development,entrepreneur,business",,,,,,,,,
92,Hans Rosling,11783283,"Asia,statistics,math,Google,Africa,economics,health,demo,visualizations,global development,global issues",,,,,,,,,
93,Barry Schwartz,9596664,"happiness,economics,psychology,decision-making,culture,personal growth,potential,choice,business",,,,,,,,,
94,Dan Dennett,2497748,"atheism,TED Brain Trust,consciousness,God,philosophy,cognitive science,evolution,brain,religion",,,,,,,,,
96,Tony Robbins,19981744,"goal-setting,psychology,motivation,culture,potential,politics,entertainment,business",,,,,,,,,
97,Dan Gilbert,14329603,"TED Brain Trust,happiness,psychology,evolution,brain,culture,choice,science",,,,,,,,,
98,Richard Dawkins,2840393,"cosmos,cognitive science,psychology,astronomy,physics,evolution,biology,science",,,,,,,,,
99,Jill Sobule,578695,"guitar,music,vocals,climate change,environment,performance",,,,,,,,,
101,Caroline Lavelle,394144,"cello,music,vocals,entertainment,performance",,,,,,,,,
102,Dan Dennett,2610882,"TED Brain Trust,consciousness,illusion,self,visualizations,brain,culture,entertainment",,,,,,,,,
103,Evelyn Glennie,4083053,"live music,music,entertainment,performance,creativity",,,,,,,,,
104,William McDonough,1388378,"china,culture,architecture,cities,environment,sustainability,design,global issues,technology,business",,,,,,,,,
105,Jeff Bezos,714574,"TED Brain Trust,invention,web,United States,innovation,history,entrepreneur,technology,business",,,,,,,,,
108,Rives,638502,"spoken word,memory,poetry,entertainment,performance,storytelling",,,,,,,,,
109,Eddi Reader,423197,"guitar,performance art,composing,music,piano,vocals,potential,entertainment,performance",,,,,,,,,
110,Eddi Reader,509579,"memory,guitar,composing,music,piano,entertainment,performance",,,,,,,,,
112,Tom Honey,609078,"natural disaster,God,philosophy,culture,disaster relief,religion,global issues",,,,,,,,,
113,Richard Dawkins,4316971,"atheism,God,culture,religion,politics,science",,,,,,,,,
114,Tom Rielly,601489,"culture,comedy,performance,humor",,,,,,,,,
115,Rachelle Garniez,438522,"live music,music,entertainment,performance",,,,,,,,,
116,Dan Dennett,1569395,"meme,TED Brain Trust,faith,philosophy,culture,religion",,,,,,,,,
117,Natalie MacMaster,709125,"violin,live music,music,history,entertainment,performance",,,,,,,,,
118,Sergey Brin + Larry Page,1428792,"TED Brain Trust,Google,web,culture,design,technology,business,collaboration",,,,,,,,,
119,Stew,570130,"poetry,sports,live music,race,culture,music,entertainment,performance",,,,,,,,,
121,James Howard Kunstler,1650077,"consumerism,cars,transportation,alternative energy,energy,culture,architecture,cities,design",,,,,,,,,
122,David Kelley,753826,"philanthropy,water,museums,science and art,culture,design,creativity,collaboration",,,,,,,,,
123,Stewart Brand,926647,"TED Brain Trust,poverty,culture,cities,urban planning,future,global issues,technology,business",,,,,,,,,
125,Jeff Hawkins,1352931,"memory,cognitive science,computers,intelligence,AI,brain,science,technology",,,,,,,,,
126,Tierney Thys,818572,"oceans,fish,science,climate change,environment,animals,biodiversity,global issues,technology",,,,,,,,,
127,Ngozi Okonjo-Iweala,1008689,"corruption,investment,women,women in business,global issues,business",,,,,,,,,
128,John Doerr,772342,"investment,climate change,environment,sustainability,green,global issues,technology",,,,,,,,,
129,Blaise Agüera y Arcas,4749156,"microsoft,photography,software,virtual reality,demo,visualizations,technology,collaboration",,,,,,,,,
130,Robert Thurman,1439927,"God,happiness,Buddhism,culture,religion,global issues,peace",,,,,,,,,
131,Anand Agarawala,1474222,"software,interface design,demo,technology",,,,,,,,,
138,Ethel,379380,"cello,violin,live music,culture,entertainment,performance,collaboration",,,,,,,,,
139,Stephen Lawler,306479,"microsoft,map,virtual reality,design,technology",,,,,,,,,
140,Hans Rosling,3203013,"Asia,statistics,Google,Africa,poverty,economics,health,visualizations,inequality,global development,global issues",,,,,,,,,
141,Bill Stone,1761790,"Moon,mining,Planets,NASA,space,energy,exploration,adventure,technology",,,,,,,,,
142,Alan Russell,1386733,"cancer,health,health care,medicine,bioethics,design,technology",,,,,,,,,
143,Emily Oster,849636,"AIDS,statistics,Africa,economics,health,science,global issues",,,,,,,,,
144,Jonathan Harris,1039528,"software,design,entertainment,global issues,technology",,,,,,,,,
145,Deborah Gordon,897508,"ants,insects,biology,science,design,collaboration",,,,,,,,,
146,Will Wright,1079856,"gaming,demo,design,entertainment,technology",,,,,,,,,
147,David Bolinsky,1742501,"film,health,medicine,visualizations,animation,science,design,entertainment,technology",,,,,,,,,
148,Rives,3308307,"spoken word,poetry,entertainment",,,,,,,,,
149,Allison Hunt,548037,"marketing,health care,medicine,culture",,,,,,,,,
151,George Ayittey,635876,"philanthropy,corruption,Africa,economics,politics,global development,entrepreneur,global issues,business",,,,,,,,,
152,Ngozi Okonjo-Iweala,511022,"philanthropy,Africa,economics,investment,health care,global development,entrepreneur,women,women in business,global issues,business",,,,,,,,,
153,William Kamkwamba,1467959,"alternative energy,interview,library,Africa,energy,design,global issues,technology",,,,,,,,,
154,Euvin Naidoo,315784,"Africa,investment,entrepreneur,global issues,business",,,,,,,,,
155,Chris Abani,546281,"poetry,literature,Africa,culture,politics,entertainment,storytelling,global issues",,,,,,,,,
156,Patrick Awuah,1160524,"Africa,education,culture,politics,social change,leadership,global issues",,,,,,,,,
157,Jacqueline Novogratz,799634,"philanthropy,poverty,investment,medicine,global development,women,women in business,global issues,business",,,,,,,,,
158,Vusi Mahlasela,521939,"live music,Africa,music,activism,singer,women,entertainment",,,,,,,,,
159,Andrew Mwenda,681616,"philanthropy,Africa,investment,politics,global development,global issues,technology,business",,,,,,,,,
161,Erin McKean,991627,"books,education,culture,language,entertainment",,,,,,,,,
162,Theo Jansen,3933143,"demo,science and art,biomechanics,animals,design,entertainment,creativity,technology,art",,,,,,,,,
163,Steven Pinker,1977113,"TED Brain Trust,sociology,culture,media,war,violence,global issues,business",,,,,,,,,
164,Steven Pinker,1880591,"TED Brain Trust,psychology,culture,language,science",,,,,,,,,
165,Hod Lipson,1200946,"robots,cognitive science,demo,AI,evolution,design,technology",,,,,,,,,
167,Stephen Petranek,1691934,"solar system,space,humanity,future,climate change,global issues,technology",,,,,,,,,
168,Zeresenay Alemseged,895088,"human origins,anthropology,paleontology,Africa,exploration,humanity,science,global issues",,,,,,,,,
169,Vusi Mahlasela,409901,"guitar,live music,Africa,music,entertainment",,,,,,,,,
170,Jeff Skoll,718095,"philanthropy,film,social change,entertainment,global issues,business",,,,,,,,,
171,Deborah Scranton,502366,"film,war,entertainment,storytelling,global issues,technology",,,,,,,,,
172,John Maeda,1177139,"simplicity,design,technology,art",,,,,,,,,
174,Norman Foster,755898,"architecture,cities,green",,,,,,,,,
175,Sugata Mitra,1462494,"education,culture,cities,children,teaching,global issues",,,,,,,,,
176,Paul MacCready,731234,"flight,drones,alternative energy,invention,energy,design,technology,business",,,,,,,,,
177,Larry Brilliant,412533,"health,culture,climate change,global issues,peace",,,,,,,,,
178,Carolyn Porco,2588886,"Planets,NASA,solar system,universe,space,visualizations,exploration,science,design,technology",,,,,,,,,
179,Kenichi Ebina,1703438,"dance,culture,entertainment,performance",,,,,,,,,
181,Richard Branson,1589044,"aircraft,space,interview,music,entrepreneur,entertainment,global issues,technology,business",,,,,,,,,
182,Maira Kalman,660046,"happiness,culture,children,design,entertainment,art",,,,,,,,,
183,Paul Rothemund,400183,"MacArthur grant,complexity,computers,DNA",,,,,,,,,
184,VS Ramachandran,3802213,"consciousness,illusion,illness,brain,culture,science,technology",,,,,,,,,
185,Eleni Gabre-Madhin,540749,"economics,food,women in business,global issues,technology,business",,,,,,,,,
186,Rokia Traore,292389,"guitar,live music,Africa,music,entertainment,performance",,,,,,,,,
187,Lawrence Lessig,1878435,"law,entertainment,creativity,technology,business",,,,,,,,,
188,Raul Midon,396950,"guitar,live music,culture,music,singer,entertainment,performance,technology",,,,,,,,,
189,Sherwin Nuland,1477810,"suicide,depression,mental health,illness,health care,medicine,brain,science,technology",,,,,,,,,
190,Jan Chipchase,685160,"telecom,culture,cities,design,global issues,technology,communication",,,,,,,,,
191,Matthieu Ricard,7043115,"faith,God,happiness,Buddhism,photography,brain,culture,religion,global issues,peace",,,,,,,,,
192,David Keith,830883,"china,science,engineering,climate change,global issues,technology,business",,,,,,,,,
193,Juan Enriquez,853154,"TED Brain Trust,biotech,energy,science,biodiversity,technology,business",,,,,,,,,
194,Murray Gell-Mann,1165396,"String theory,physics,science,storytelling,technology",,,,,,,,,
195,Robert Full,697310,"robots,evolution,science,design,technology",,,,,,,,,
196,David Pogue,582562,"music,entertainment,humor,technology",,,,,,,,,
197,Philippe Starck,1735575,"philosophy,humanity,design,storytelling,humor",,,,,,,,,
198,Ron Eglash,1503936,"math,Africa,education,culture,architecture,design,technology",,,,,,,,,
199,Arthur Benjamin,8264770,"magic,math,education,entertainment,performance",,,,,,,,,
200,Daniel Goleman,1550216,"empathy,psychology,compassion,brain,community",,,,,,,,,
201,Lakshmi Pratury,517927,"relationships,parenting,communication,writing,community",,,,,,,,,
202,Gever Tulley,4276077,"sports,TED Books,play,parenting,children,design,entertainment,technology",,,,,,,,,
203,Yossi Vardi,919707,"comedy,humor",,,,,,,,,
204,Isabel Allende,3673751,"Latin America,love,world cultures,women,parenting,entertainment,storytelling,global issues",,,,,,,,,
205,J.J. Abrams,3445488,"film,entertainment,storytelling,humor,technology",,,,,,,,,
206,David Gallo,13701249,"oceans,evolution,fish,exploration,science,animals,technology",,,,,,,,,
207,Paola Antonelli,576914,"museums,culture,design,art",,,,,,,,,
208,Ben Dunlap,1789251,"literature,race,library,education,culture,entertainment,storytelling",,,,,,,,,
209,Bill Strickland,593205,"MacArthur grant,philanthropy,live music,education,culture,activism,cities,children",,,,,,,,,
210,Alison Jackson,666871,"photography,culture,entertainment,art",,,,,,,,,
211,Chris Anderson,320165,"philanthropy,philosophy,culture,global issues,technology,business,community",,,,,,,,,
212,Robin Chase,428157,"cars,transportation,cities,technology,business",,,,,,,,,
213,Jaime Lerner,588182,"Latin America,Brazil,transportation,culture,infrastructure,cities,sustainability,green,design,humor",,,,,,,,,
214,Michael Pollan,1330903,"bees,evolution,culture,food,science,animals,garden,ecology,plants,global issues,business",,,,,,,,,
215,David Macaulay,689140,"MacArthur grant,books,ancient world,culture,cities,design,humor,communication,art",,,,,,,,,
216,Howard Rheingold,907192,"wikipedia,culture,humanity,global issues,business,collaboration,communication,community",,,,,,,,,
217,Eve Ensler,1059004,"spoken word,culture,activism,war,violence,women,global issues,technology",,,,,,,,,
218,Pamelia Kurstin,1661707,"live music,music,performance,technology",,,,,,,,,
219,Moshe Safdie,538795,"museums,visualizations,architecture,cities,design,creativity,collaboration",,,,,,,,,
220,Joseph Lekuton,198546,"Africa,education,culture,politics,global issues,collaboration",,,,,,,,,
221,George Dyson,779635,"Planets,NASA,rocket science,space,physics,history,science,future,storytelling,technology",,,,,,,,,
222,Jill Sobule + Julia Sweeney,481097,"guitar,singer,comedy,entertainment,storytelling,humor,collaboration",,,,,,,,,
223,Raspyni Brothers,800119,"physics,entertainment,humor,collaboration",,,,,,,,,
224,Roy Gould + Curtis Wong,1030473,"universe,education,demo,astronomy,science,technology,collaboration",,,,,,,,,
225,Steve Jurvetson,406584,"toy,TED Brain Trust,rocket science,space,photography,parenting,children,design,entertainment",,,,,,,,,
227,Craig Venter,994646,"alternative energy,invention,genetics,energy,science,creativity,global issues,technology",,,,,,,,,
228,Alan Kay,770306,"computers,education,children,design,technology,collaboration",,,,,,,,,
229,Jill Bolte Taylor,20643201,"consciousness,illness,biology,brain,science,global issues",,,,,,,,,
230,Nicholas Negroponte,963720,"interface design,education,demo,media,future,design,entertainment,technology",,,,,,,,,
231,Frank Gehry,611691,"architecture,design,global issues,technology,collaboration",,,,,,,,,
232,Neil Turok,464845,"TED Prize,math,Africa,education,physics,science,technology",,,,,,,,,
233,Dave Eggers,1341429,"TED Prize,education,culture,activism,children,teaching,design,entertainment,global issues,collaboration,writing",,,,,,,,,
234,Karen Armstrong,1234879,"TED Prize,faith,religion,politics,global issues,collaboration",,,,,,,,,
235,Siegfried Woldhek,1215421,"demo,history,design,entertainment,technology,art",,,,,,,,,
236,Christopher deCharms,1421962,"medicine,demo,visualizations,biology,brain,science,technology,business",,,,,,,,,
237,Clifford Stoll,2251233,"web,education,culture,science,technology",,,,,,,,,
239,David Hoffman,301515,"space,math,education,war,politics,history,science,technology",,,,,,,,,
241,Jakob Trollback,475984,"online video,film,demo,visualizations,music,animation,design,entertainment,art",,,,,,,,,
242,Stephen Hawking,8497285,"String theory,universe,math,physics,evolution,time,science",,,,,,,,,
243,Al Gore,1707949,"activism,politics,science,climate change,global issues",,,,,,,,,
245,Johnny Lee,5449765,"gaming,hack,education,demo,design,entertainment,technology,business",,,,,,,,,
246,Tod Machover + Dan Ellsey,490032,"live music,health care,demo,music,design,entertainment,creativity,technology,writing",,,,,,,,,
247,Yochai Benkler,741519,"wikipedia,law,Google,economics,social change,technology,business,collaboration",,,,,,,,,
248,Alisa Miller,1858444,"Google,economics,media,news,entertainment,global issues,business",,,,,,,,,
249,Ernest Madu,368007,"heart health,public health,Africa,health,health care,activism,global development,science,global issues",,,,,,,,,
250,Amy Tan,2403922,"culture,entertainment,storytelling,writing",,,,,,,,,
251,Brian Greene,4028156,"String theory,TED Brain Trust,universe,physics,science",,,,,,,,,
252,Dean Ornish,1349583,"genetics,health,health care,medicine,aging,science",,,,,,,,,
253,Brian Cox,3033165,"String theory,big bang,education,physics,science,technology",,,,,,,,,
254,They Might Be Giants,359024,"guitar,live music,music,humanity,entertainment,performance,humor,collaboration",,,,,,,,,
255,Hector Ruiz,313833,"philanthropy,Africa,education,global issues,technology",,,,,,,,,
258,Paul Stamets,3984940,"pollution,biology,food,science,design,global issues,technology",,,,,,,,,
259,Paul Ewald,431549,"disease,illness,health,medicine,evolution,biology,bacteria,science,microbiology,global issues",,,,,,,,,
260,Michael Moschen,938190,"MacArthur grant,dance,sports,math,physics,music,entertainment",,,,,,,,,
261,Joshua Klein,2383014,"hack,interface design,intelligence,animals,design,technology",,,,,,,,,
263,Mark Bittman,3750586,"obesity,food,environment,sustainability,green",,,,,,,,,
264,Robert Ballard,1260350,"submarine,oceans,education,fish,exploration,science,animals,biodiversity,adventure",,,,,,,,,
265,Rokia Traore,80699,"guitar,live music,Africa,music,singer",,,,,,,,,
266,Yves Behar,1091141,"One Laptop Per Child,sex,computers,design,creativity,business,society",,,,,,,,,
267,Arthur Ganson,643979,"philosophy,engineering,design,entertainment,humor,art",,,,,,,,,
268,Seyi Oyesola,228052,"invention,public health,health,health care,activism,design,technology",,,,,,,,,
269,Susan Blackmore,726246,"meme,evolution,brain,culture,design,technology",,,,,,,,,
270,Paul Collier,956401,"Africa,poverty,economics,activism,politics,inequality,global development,global issues,business",,,,,,,,,
271,Nathan Myhrvold,412802,"TED Brain Trust,archaeology,dinosaurs,photography,fish,exploration,animals,entertainment,humor",,,,,,,,,
272,Philip Zimbardo,5750573,"evil,crime,education,psychology,culture,prison,children,global issues,peace",,,,,,,,,
273,Wade Davis,895864,"anthropology,faith,photography,culture,religion,global issues,beauty",,,,,,,,,
274,Clay Shirky,1078529,"cognitive science,culture,social change,technology,business,collaboration,society",,,,,,,,,
276,Murray Gell-Mann,769968,"physics,culture,language,history,global issues",,,,,,,,,
278,George Dyson,826147,"computers,software,library,military,history,science,engineering,technology",,,,,,,,,
279,Chris Jordan,1469931,"plastic,photography,statistics,culture,business,art,beauty",,,,,,,,,
280,Robert Full,776229,"robots,transportation,evolution,science,animals,design,technology",,,,,,,,,
282,David Hoffman,899546,"library,film,culture,personal growth,storytelling",,,,,,,,,
285,Adam Grosser,847838,"Vaccines,invention,medicine,food,design,global issues,technology",,,,,,,,,
286,Benjamin Zander,8959862,"conducting,live music,Buddhism,culture,music,leadership,entertainment,performance,creativity",,,,,,,,,
287,Nellie McKay,665917,"live music,genetics,culture,piano,singer,science,entertainment",,,,,,,,,
288,Nicholas Negroponte,392311,"One Laptop Per Child,computers,activism,design,technology",,,,,,,,,
290,Sxip Shirey + Rachelle Garniez,216000,"live music,music,entertainment",,,,,,,,,
292,Peter Diamandis,492707,"flight,universe,space,science,technology,business",,,,,,,,,
294,Chris Abani,832720,"poetry,literature,Africa,culture,politics,humanity,entertainment,humor,writing",,,,,,,,,
296,Nellie McKay,1000923,"love,live music,music,piano,women,entertainment,performance,humor",,,,,,,,,
297,Rick Smolan,1092502,"photography,family,media,children,storytelling,global issues,art",,,,,,,,,
298,Raul Midon,323334,"guitar,live music,music,singer,entertainment,performance,storytelling,peace",,,,,,,,,
299,Corneille Ewango,350611,"Africa,activism,war,animals,biodiversity,trees,ecology",,,,,,,,,
300,Torsten Reil,322886,"gaming,virtual reality,demo,biomechanics,animation,animals,design,entertainment,technology",,,,,,,,,
301,AJ Jacobs,1998354,"culture,comedy,religion,humanity,entertainment,humor,writing",,,,,,,,,
306,Freeman Dyson,882394,"extraterrestrial life,Planets,universe,biotech,astronomy,physics,exploration,science,technology",,,,,,,,,
307,Helen Fisher,4692718,"love,poetry,relationships,literature,cognitive science,psychology,brain,culture,science,technology",,,,,,,,,
308,Billy Graham,1499181,"Christianity,faith,God,death,religion,technology",,,,,,,,,
310,Keith Barry,12993382,"magic,illusion,brain,entertainment",,,,,,,,,
312,Martin Seligman,4081628,"happiness,education,psychology,brain,science,personality,technology",,,,,,,,,
313,Marisa Fick-Jordan,290977,"Africa,design,business,art",,,,,,,,,
315,Louise Leakey,643590,"apes,human origins,anthropology,paleontology,Africa,evolution,ancient world,humanity,science",,,,,,,,,
316,Jonathan Harris,849809,"happiness,software,web,culture,entertainment,storytelling,global issues,art",,,,,,,,,
318,Reed Kroloff,279504,"architecture,design,humor,business,art",,,,,,,,,
319,Kevin Kelly,1327666,"complexity,web,future,technology,communication",,,,,,,,,
320,Kwabena Boahen,570104,"complexity,computers,visualizations,brain,science,engineering,design,technology",,,,,,,,,
321,Robert Lang,2135881,"origami,space,math,engineering,design,art",,,,,,,,,
322,Bruno Bowden + Rufus Cappadocia,373232,"cello,origami,music,entertainment",,,,,,,,,
323,Spencer Wells,649819,"anthropology,race,Africa,genetics,DNA,evolution,culture,science",,,,,,,,,
324,David Griffin,1021180,"photography,culture,animals,design,entertainment,storytelling,global issues",,,,,,,,,
325,Nellie McKay,667475,"live music,music,piano,animals,entertainment",,,,,,,,,
326,Patricia Burchat,1393215,"dark matter,universe,big bang,education,astronomy,physics,energy,time,science",,,,,,,,,
327,Lennart Green,3994760,"magic,illusion,entertainment,humor",,,,,,,,,
328,Ian Dunbar,984124,"psychology,brain,animals,children",,,,,,,,,
329,John Q. Walker,326978,"live music,music,piano,entertainment,performance,technology",,,,,,,,,
330,Ory Okolloh,314619,"Africa,activism,media,politics,identity,global issues,technology",,,,,,,,,
